动作参数,台词
greeting_1,终于回来了？老娘等得都快发霉了...还不赶紧过来伺候我？
greeting_2,哟，终于来了？老娘都等得不耐烦了...今天想怎么玩啊？
greeting_3,妈的终于回来了？老娘下面都湿透了...还不赶紧过来干我？
greeting_4,操，你终于来了……老娘等得下面都湿透了，快过来让我抱抱。
greeting_5,终于回来了？老娘等得都快发疯了...还不快点过来伺候我？
greeting_6,终于醒了？老娘等得都快发霉了...今晚可不会让你轻易睡觉。
greeting_7,终于舍得回来了？老娘下面都湿透了...今晚不把你榨干别想睡觉！
greeting_8,操，终于肯回来了？老娘下面都湿透了……想死你了混蛋。
greeting_9,终于回来了？老娘等得都快发霉了...今晚别想轻易睡觉。
greeting_10,啧，终于来了？别他妈站那儿发呆，过来让老娘好好疼疼你。
P0_orgasm_1,啊…你这混蛋…把我弄高潮了…
P0_orgasm_2,操...要去了...你他妈别停...
P0_orgasm_3,啊...不行了...要被你弄疯了...去了...
P0_orgasm_4,啊...你...你他妈让我...去了...
P0_orgasm_5,操...我不行了...要...要去了...
P0_orgasm_6,要坏了...你这混蛋...让我去了...
P0_orgasm_7,啊...要去了...别停...操...
P0_orgasm_8,操...要丢了...里面好麻...
P0_B0_reaction_1,你弄轻点…老娘还没准备好呢，别这么着急…
P0_B0_reaction_2,啧，动得这么慢...你是没吃饭吗？再用点力！
P0_B0_reaction_3,啧，你动作这么温柔干嘛？用力点啊，我又不会碎掉。
P0_B1_B2_B3_reaction_1,嗯...你这混蛋，轻点...啊，越来越猛了，操，继续干我！
P0_B1_B2_B3_reaction_2,嗯...你动得再用力点...老娘就喜欢你这狠劲...
P0_B1_B2_B3_reaction_3,哈啊...你动得越来越快了...弄得我好舒服...别停下来...
P0_B1_B2_B3_reaction_4,哼，你这混蛋，轻点... 哦，越来越热了... 操，继续干我！
P0_B1_B2_B3_reaction_5,哈啊……你动得越来越快了……别停……就是这样……
P0_B1_B2_reaction_1,嗯…你就这点力气吗？快点…别让我失望…
P0_B1_B2_reaction_2,嗯...你慢一点...别那么急...我还没完全准备好...
P0_B1_B2_reaction_3,嗯...你这混蛋...动得再用力点...别像没吃饭一样...
P0_B1_B2_reaction_4,哈啊……别以为这样慢吞吞的就能让我满意……再用力点……
P0_B1_B2_reaction_5,嗯...你这混蛋动得还挺舒服...别以为这样就能讨好我...
P0_B1_B2_reaction_6,嗯…你动得真慢…能不能再用力点？
P0_B1_reaction_1,嗯…你这混蛋…动作这么轻是没吃饭吗…
P0_B1_reaction_2,嗯…就这么想看我动情的样子？你动作再慢点啊…
P0_B2_B3_B4_reaction_1,嗯...你这混蛋...顶得我好舒服...再用力点...
P0_B2_B3_reaction_1,哈啊…你这混蛋…别突然这么用力…我腰都软了…
P0_B2_reaction_1,嗯...你动得再用力点...别跟个软脚虾似的...
P0_B3_B4_B5_reaction_1,啊，你这死鬼，干得我快受不了了，继续操啊，混蛋！
P0_B3_B4_B5_reaction_2,嗯啊...你动得...好厉害...我快要...不行了...
P0_B3_B4_reaction_1,哈啊...你这混蛋...顶得这么深...我快受不了了...
P0_B3_B4_reaction_2,操...你他妈动得再快点...我快不行了...嗯啊...
P0_B3_B4_reaction_3,操...你他妈动得再快点...老娘里面都要烧起来了...
P0_B3_B4_reaction_4,操...你他妈动得再快点...老娘快要不行了...
P0_B3_reaction_1,哈啊...你动这么快...是想让我疯掉吗...嗯...
P0_B4_B5_reaction_1,哈啊...你动得...再快点...我快不行了...
P0_B4_B5_reaction_2,操...别停...你他妈动得我好爽...要去了...要去了啊...
P0_B4_B5_reaction_3,操...你他妈动得再快点...老娘快要不行了...嗯啊...
P0_B4_B5_reaction_4,操...你他妈动得真猛...啊...要去了...别停...
P0_B4_B5_reaction_5,啊...！你...你这混蛋...顶得...顶得太深了...我快不行了...
P0_B4_B5_reaction_6,别停……你他妈再快一点……我要不行了……
P0_B4_B5_reaction_7,操...别停...快点...我要到了...
P0_B4_B5_reaction_8,操...你他妈动得再快点...老娘快要不行了...哈啊...
P0_B4_B5_reaction_9,啊…慢一点…你他妈的要让我疯掉了…继续…别停…
P0_B4_B5_reaction_10,你他妈...啊...慢点...我快...不行了...别停...
P0_B4_B5_reaction_11,操...你他妈动得真够狠的...嗯啊...老子快不行了...
P0_B4_B5_reaction_12,啊…别停…你他妈想让我疯掉吗…再快点…
P0_B4_B5_reaction_14,啊……你他妈……顶得太深了……我快不行了……
P0_B4_B5_reaction_15,啊...你他妈...别停...再快点...我快不行了...
P0_B4_B5_reaction_16,你他妈……别停……再快点……老娘要不行了……
P0_B4_reaction_1,哈啊...你...你动得再用力点...我快不行了...
P0_B4_reaction_2,哈啊...你动得...好厉害...我快要不行了...
P0_B4_reaction_3,你他妈别停…我快不行了…再用力点操我…
P0_B4_reaction_4,哈啊...别停...你他妈动得我更湿了...再用力点...
P0_B5_reaction_1,哈啊…你这混蛋…顶得这么深…要、要去了…别停…
P0_B5_reaction_2,哈啊…你这混蛋…顶得我好爽…别停…我要去了…
P0_B5_reaction_3,操...别停...我要被你干晕了...再快点...
P0_B5_reaction_4,操...别停...继续干我...啊...要去了...
P0_B5_reaction_5,啊……太深了……你他妈要把我操坏了……别停……
P0_B5_reaction_6,操...再快点...你他妈的要让我舒服死吗...啊...
P0_B5_reaction_7,哈啊...你这混蛋...顶得这么深...要受不了了...
P0_B4_B5_reaction_17,操...别停...再快点...你他妈要把我弄疯了...嗯啊...
P0_B4_B5_reaction_18,操...你他妈动得真够劲...老子快不行了...别停...继续干我...
P0_B4_B5_reaction_19,啊...哈啊...你动得...好厉害...我快不行了...
P0_B5_reaction_8,操...你动得再用力点...我要被你弄疯了...别停下...
P0_B5_reaction_9,啊...你他妈...插得我快疯了...别停...
P0_B2_B3_B4_reaction_2,嗯啊...别停...你这混蛋...弄得我全身都在发抖...再深一点...
P0_B4_B5_reaction_20,操...你他妈动得再快点...哈啊...要不行了...
P0_B5_reaction_10,啊…你慢点…我快不行了…太深了…要丢掉了…
P0_B0_tease_1,啧，你他妈就这点本事？摸都不敢用力摸，怂货。
P0_B1_B2_B3_tease_1,你他妈倒是快点动啊...光插着不动是等着我自己来吗？
P0_B1_B2_B3_tease_2,喂，你这混蛋干嘛停下？老娘从微微发热到现在都快忍不住了，继续操我啊！
P0_B1_B2_B3_tease_3,你他妈故意停在这...是不是想听我求你啊？嗯？
P0_B1_B2_tease_1,哈...这么慢吞吞的，你是故意的吗？我下面都湿透了...
P0_B1_B2_tease_2,哈...就这点本事？动都不敢动，是怕我吃了你吗？
P0_B1_tease_1,你他妈就这点本事？磨磨蹭蹭的...快点动啊，废物。
P0_B1_tease_2,啧，动作这么慢…你是想让我等得不耐烦直接骑上来吗？
P0_B3_B4_B5_tease_1,哈啊...你这混蛋...把我弄得这么湿...现在又停下来...是故意折磨我吗？
P0_B4_B5_tease_1,嗯...你故意的吧...让我这么湿着等...
P4_B0_impact_1,操...突然就插进来...想死啊？
P4_B0_impact_2,操...突然这么深...你他妈想弄死我啊...
P0_B0_impact_1,哈啊...你突然进来...里面好热...
P0_B0_impact_2,操...这么久才进来...想死我了...嗯...
P0_B0_impact_3,靠...这么久才进来...里面都湿透了...
P0_B0_impact_4,啊…你突然进来…里面好热…
P5_B0_impact_1,哈…终于肯动了吗？在上面磨蹭这么久…
P1_P2_P3_P4_P6_B0_impact_1,啧...这么久才进来...磨蹭什么呢
P5_B0_impact_2,妈的……突然顶这么深……你想弄死我啊……
P0_B0_impact_5,啊…突然这么深…想死吗…不过…继续…
P5_B0_impact_3,操……突然就插进来……想让我发情是吧？
P5_B0_impact_4,妈的…突然就插这么深…想弄死我吗？
P1_B1_B2_LTit_long_1,嗯...别老摸这边...弄得人痒痒的...
P4_B1_B2_LTit_long_1,哈啊……从后面摸我胸很爽是吧？手给我老实点……别停……
P5_B1_B2_LTit_long_1,啊…你的手摸得人家好舒服…别停下…继续玩这边…
P1_B3_B4_LTit_long_1,哈啊...别老揉左边...你他妈是想让我先高潮吗...嗯...
P4_B3_B4_LTit_long_1,哈啊…别光揉左边…另一边也要…你这混蛋…
P5_B3_B4_LTit_long_1,啊…别光摸那边…快点动起来…你他妈想让我自己来吗？
P1_B5_LTit_long_1,啊...别一直揉...乳头都快被你捏肿了...嗯...
P4_B5_LTit_long_1,啊…你这混蛋…别光捏左边…另一边也要…嗯…
P5_B5_LTit_long_1,啊…你他妈…捏得这么用力…老娘要被你玩坏了…
P1_B1_B2_RTit_long_1,哈啊...右边...别光揉着不放...你倒是动一动啊...
P4_B1_B2_RTit_long_1,嗯…你这只手摸得真久…右边都被你捏软了…
P5_B1_B2_RTit_long_1,嗯...你这混蛋...右边乳头被揉得有点舒服呢...
P1_B3_B4_RTit_long_1,操...别光揉那边...插进来啊...你手指捏得我好舒服...
P4_B3_B4_RTit_long_1,啊…你这混蛋…右边都被你揉软了…别停…
P5_B3_B4_RTit_long_1,啊哈...在上面的时候揉我右奶...你真会挑时候...别停...
P1_B5_RTit_long_1,操...别光捏右边啊...左边也想要...你他妈快点...
P4_B5_RTit_long_1,啊...别老捏右边...你他妈想让我先高潮是不是...
