信号名称,取值范围/包含内容,算法/逻辑
深度（V）,0～6的整数,当前被触发的感知按键中，编号最大（最靠深处）的编号值。
体位（P）,1～6的整数,P1：正常位
,,P2：左侧入位
,,P3：右侧入位
,,P4：背后位
,,P5：骑乘位
,,P6：压迫位
运动方向（D）,0、1、-1,算法：每次系统取到插拔深度的按键值（Vn），与前一次的按键值（Vn-1）相减，（Vn）-（Vn-1）若为正，则动作方向D=1（插入）；若为负，则动作方向D=-1（拔出）；若为0，则动作方向D=0（静止）。
运动频率（F）,0～♾️整数,"运动频率算法：
设置3个变量L、tempF和F；
当D（运动方向）≠0时，L=D；
当前L ≠前一个L时，tempF+1，此时动作方向改变；
每过5秒，F = tempF×12，然后tempF清0；
F为上一5秒时间段的活塞运动频率，单位：次/分钟；
F每5秒更新一次。"
运动速度（S）,"-100～100（正常情况下）","动作方向改变的判断算法是：
设置2个变量L和tempF；
当D（运动方向）≠0时，L=D；
当前L ≠前一个L时，此时动作方向改变；
将动作方向改变时的“使用时间”（Tf）记为T1（单位：秒），“活塞运动实时深度”（V）记为V1；
下一次动作方向改变时的“使用时间”（Tf）记为T2（单位：秒），“活塞运动实时深度”（V）记为V2；
S =向上取整[ (V2-V1) ÷ (T2-T1) ] ；
S为上一动作的速度值，该值绝对值越大，动作速度越大；S位正时是插入速度，S为负时时拔出速度。"
角色呼吸频率档位（B）,1～5的整数,"S’是指固定刷新时间内（目前设置为5秒），所有S的绝对值的累加，再加上这同一刷新时间内，局部触摸状态不为“none”的次数×5；“bRate”是个性化参数中读取到的值，会影响升降档的敏感度；“pnRate”是个性化参数中读取到的值，根据判断时的实际体位（P的值）确认应该选择哪个具体参数。
当B=1时，S’>20×“bRate”×“pnRate”时，B+1；当B=2时，S’≤30×“bRate”时，B-1，S’>50×“bRate”×“pnRate”时，B+1；当B=3时，S’≤70×“bRate”时，B-1，S’>100×“bRate”×“pnRate”时，B+1；当B=4时，S’≤70×“bRate”时，B-1，S’>100×“bRate”×“pnRate”时，B+1；当B=5时，S’≤100×“bRate”时，B-1。
B=1时，对应“b1Frequency”次/分钟呼吸频率（系统默认值20）；
B=2时，对应“b2Frequency”次/分钟呼吸频率（系统默认值40）；
B=3时，对应“b3Frequency”次/分钟呼吸频率（系统默认值60）；
B=4时，对应“b4Frequency”次/分钟呼吸频率（系统默认值80）；
B=5时，对应“b5Frequency”次/分钟呼吸频率（系统默认值100）。"
